id,fen,solution,rating,theme
3l0V1,6k1/8/3K4/p6P/8/8/8/8 b - - 1 54,a5a4 d6d5 a4a3 d5c4 a3a2,400,전진한 폰
6RFdV,8/7p/8/7k/2P5/8/5K2/8 w - - 0 45,c4c5 h5g4 c5c6 g4f5 c6c7,400,전진한 폰
As3EW,8/8/5k2/PK6/5p1p/7P/8/8 b - - 0 50,f4f3 a5a6 f3f2,400,전진한 폰
BJFno,8/7k/8/3K4/p1pP4/P7/8/8 b - - 0 72,c4c3 d5c4 c3c2,400,전진한 폰
Grv2a,8/8/2K5/2p5/P1k5/1p6/1P6/8 w - - 0 53,a4a5 c4d4 a5a6 c5c4 a6a7,400,전진한 폰
KkNTn,8/8/5K2/4p1P1/k7/5n2/8/8 w - - 0 55,g5g6 a4b5 g6g7,400,전진한 폰
R2Gzt,6K1/8/1p6/8/p6P/2k5/8/8 w - - 0 51,h4h5 b6b5 h5h6 b5b4 h6h7,400,전진한 폰
WU8We,8/8/K7/6p1/1P3k2/8/8/8 w - - 1 53,b4b5 g5g4 b5b6 g4g3 b6b7,400,전진한 폰
XLrjM,8/8/6K1/7P/p7/1k6/6P1/8 b - - 1 59,a4a3 h5h6 a3a2,400,전진한 폰
a7jaV,8/8/3K4/7p/2P3k1/p7/P7/8 w - - 1 50,c4c5 h5h4 c5c6 g4g3 c6c7,400,전진한 폰
cJtHj,7K/8/8/p7/6P1/1k6/5P2/8 b - - 0 47,a5a4 g4g5 a4a3 g5g6 a3a2,400,전진한 폰
ltpWt,8/2k5/8/7P/p7/4K3/5P2/8 b - - 1 44,a4a3 e3d4 a3a2,400,전진한 폰
uw7N6,8/8/5p2/8/P7/4pk2/8/4K3 w - - 2 51,a4a5 f6f5 a5a6 f5f4 a6a7,400,전진한 폰
07qNu,2r4k/pp5p/8/5n2/r7/2NR4/1PK5/3R4 w - - 0 39,d3d8 c8d8 d1d8,400,우위 잡기
4q2Xe,8/5pk1/R3p1p1/p2p3p/8/7P/r3BPP1/5K2 b - - 1 38,a2a1 e2d1 a1d1,400,우위 잡기
724gP,3r4/7R/1k6/3r3p/4p2P/2P2pP1/5P2/2R3K1 b - - 0 40,d5d1 c1d1 d8d1,400,우위 잡기
8veeY,4rqk1/p1p1rpp1/1p3n1p/8/1QB4N/7P/PPP2PP1/3RRK2 b - - 0 22,e7e1 b4e1 e8e1,400,우위 잡기
BA5TF,4r2k/1p1n2pp/1pp2r2/5b2/3p1P2/2N1R1PP/PPP3B1/2K5 w - - 0 24,e3e8 f6f8 e8f8,400,우위 잡기
J9pVS,r5k1/4p3/P4pp1/2pRb3/8/4B3/2r2PPP/3R2K1 w - - 0 26,d5d8 a8d8 d1d8,400,우위 잡기
OgQqr,N5k1/5pp1/P3pn1p/3p4/3r4/Rn4P1/4R1PP/6K1 b - - 2 30,d4d1 e2e1 d1e1,400,우위 잡기
eefWv,8/1p6/p1p4k/5NRp/7r/1P6/1PP4P/7K b - - 1 44,h6g5 f5h4 g5h4,400,우위 잡기
jkZiN,r2q2k1/ppp2p1p/8/4rp2/2p4P/3QP3/PP3PP1/2KR3R w - - 0 18,d3d8 a8d8 d1d8,400,우위 잡기
kDXzf,6k1/2r3np/6p1/2p2bN1/2P3nP/6P1/P2R1P2/5BK1 w - - 3 37,d2d8 g7e8 d8e8,400,우위 잡기
pjOvf,r5k1/p2brppp/2p1qn2/2pp4/5B2/3P1Q2/PPPN1PPP/R3R1K1 b - - 1 16,e6e1 a1e1 e7e1,400,우위 잡기
0hRnW,r6r/1R1b1k2/4p3/2Q2p1p/2PP4/3RP3/4NPPP/6K1 b - - 4 30,a8a1 b7b1 a1b1 e2c1 b1c1 d3d1 c1d1,400,백랭크 메이트
0SjHi,3rr1k1/5pp1/p3q2p/1p1R4/5p2/1PP2Q1P/1P3PP1/3R2K1 w - - 1 30,d5d8 e8d8 d1d8,400,결정적 우위
3AF4X,2r2rk1/p1q2pbp/1p4p1/4p3/4P3/1Q2N3/PP3PPP/2R2RK1 b - - 4 20,c7c1 f1c1 c8c1,400,결정적 우위
6PLSv,k1r5/pp6/7p/1P1p3P/2r5/1B6/1B4P1/2R3K1 b - - 4 33,c4c1 b2c1 c8c1,400,결정적 우위
8qB1J,8/5qk1/5Qpp/1p3p2/1P1B1P2/7P/6PK/8 b - - 0 46,f7f6 d4f6 g7f6,400,결정적 우위
8udwP,3r4/3rkpp1/1p5p/8/4KPP1/1P1R3P/8/3R4 w - - 0 48,d3d7 d8d7 d1d7,400,결정적 우위
9iZzB,3qr3/pb2rpkp/1p1p2p1/2pP4/5P1N/P2Q2P1/1P4BP/2R1R1K1 b - - 0 22,e7e1 c1e1 e8e1,400,결정적 우위
A8v21,3nr1k1/1p1r1ppp/p2q1n2/8/1P3p2/2PP2PP/1B2Q1B1/3RR1K1 w - - 0 26,e2e8 f6e8 e1e8,400,결정적 우위
Aieue,7k/6p1/1p5p/1Qp5/P1Bq1r2/7P/6PK/8 w - - 3 36,b5e8 f4f8 e8f8,400,결정적 우위
B7v3V,r3r1k1/1p3pbp/p1p2pp1/P7/1P1P1n2/2P2N2/4RPPP/4R1K1 w - - 0 23,e2e8 a8e8 e1e8,400,결정적 우위
Hr8f0,4rr1k/p1p5/2p1b2p/3p4/3P4/P1P1R2P/2P2PP1/4R1K1 w - - 2 31,e3e6 e8e6 e1e6,400,결정적 우위
BCJoA,3r3k/7p/ppp2p2/8/P5P1/1nB1P2P/1P3P2/1K6 w - - 0 27,c3f6 h8g8 f6d8,400,포크
FwRjH,4r2k/p3r1p1/1p2P1Qp/8/PP1B4/4K3/6PP/8 b - - 0 41,e7e6 g6e6 e8e6,400,포크
KB5E0,2r3k1/8/p3pp1p/1pp4b/7P/P1P3P1/BP3P2/5K2 w - - 0 37,a2e6 g8f8 e6c8,400,포크
qS65R,3k2r1/6r1/2Q3P1/3pP3/p2P4/B1P5/6K1/8 b - - 0 43,g7g6 c6g6 g8g6,400,포크
WcOr5,4rr1k/1p3p2/5p1p/p7/3P4/3B1Pb1/PP3K2/4RR2 w - - 5 27,f2g3 e8e1 f1e1,400,매달린 기물
07qIe,4rk2/ppp1rp1p/8/5p2/3p4/P2P2R1/KPP5/6R1 w - - 0 26,g3g8,400,메이트 1수
0Ebcb,r3r3/1p3p1k/6p1/p1Pp2qp/P2QnP1n/1NP1P2P/1P2B1P1/3R1RK1 b - - 0 21,g5g2,400,메이트 1수
0Q9NF,5k2/5p2/5Pp1/p1P4p/1p1R4/1R5P/r6r/5K2 w - - 1 41,d4d8,400,메이트 1수
0VVBy,1r1q1rk1/1pp2ppp/p1nbp3/8/3P2P1/2PQPN2/P4PP1/1R3K1R w - - 5 16,d3h7,400,메이트 1수
0YJ1s,r5r1/pb3p1k/5Pp1/2p1p1P1/6P1/3PpR2/PP5P/R5K1 w - - 0 25,f3h3,400,메이트 1수
0L6jE,6k1/5p1p/p1pp1Rp1/4r3/P7/8/6PP/R2B3K b - - 0 26,e5e1 f6f1 e1f1,400,메이트 2수
0NsWK,1r6/5pk1/5b1p/4p1p1/P1R5/6B1/5PPP/6K1 b - - 0 30,b8b1 c4c1 b1c1,400,메이트 2수
0TiKH,2r5/p7/3kbP2/5n1p/Q2pB1p1/3P4/PP3PPP/2R3K1 b - - 2 28,c8c1 a4d1 c1d1,400,메이트 2수
0TrOf,1r4k1/6p1/6pp/3p4/P2P4/8/P3RPPP/6K1 b - - 0 32,b8b1 e2e1 b1e1,400,메이트 2수
0bsn3,br2r2k/1q4pp/1p6/2p5/5P2/1P1PR1P1/P1P2N1P/4R1K1 w - - 0 32,e3e8 b8e8 e1e8,400,메이트 2수
0grO6,4r2k/1R5p/p5p1/1p1p2B1/8/3B2bP/P1P3P1/7K b - - 1 28,e8e1 d3f1 e1f1,400,메이트 2수
0hmOC,8/k7/2R1p3/1r3p2/3P4/4PPp1/6P1/6K1 b - - 1 41,b5b1 c6c1 b1c1,400,메이트 2수
0iQoV,1r4k1/r2q1ppp/2p1p3/3p4/6B1/2P3QP/5PP1/6K1 w - - 0 32,g3b8 d7c8 b8c8,400,메이트 2수
0sFAk,3r2k1/R6p/8/5p2/2p1nP2/1P2R3/P5PP/6K1 b - - 0 30,d8d1 e3e1 d1e1,400,메이트 2수
0yI4x,2r5/5p2/4pk2/6pp/5n2/6P1/R2R1P1P/5K2 b - - 0 40,c8c1 d2d1 c1d1,400,메이트 2수
0yppW,1k5r/pp6/3b1r2/3p1Bn1/3P2P1/2R4P/PP4K1/2R5 w - - 6 37,c3c8 h8c8 c1c8,400,메이트 2수
2xIE7,1r4k1/p4ppp/4b3/8/8/3r3P/5PPK/1R6 w - - 0 37,b1b8 e6c8 b8c8 d3d8 c8d8,400,메이트 3수
4Zszb,2r4k/4R3/7p/1R4p1/8/5BPb/1P3P1P/6K1 b - - 0 35,c8c1 f3d1 c1d1 e7e1 d1e1,400,메이트 3수
F4wCp,2r5/k5pp/pn4p1/4Q3/8/5B2/1P4PP/2R4K b - - 0 34,c8c1 f3d1 c1d1 e5e1 d1e1,400,메이트 3수
IoRFX,2r3k1/5ppp/1p2p3/4R3/1P6/P2P1B2/5PPP/6K1 b - - 0 25,c8c1 f3d1 c1d1 e5e1 d1e1,400,메이트 3수
K1CD6,2R5/k5p1/P4p1p/1r2p3/4P3/3R4/6PP/7K b - - 0 45,b5b1 c8c1 b1c1 d3d1 c1d1,400,메이트 3수
06fWI,8/8/6K1/pp6/1k5P/8/8/8 w - - 0 58,h4h5 b4a4 h5h6 b5b4 h6h7 b4b3 h7h8q,400,승격
3D2hd,8/8/6K1/7P/p7/1k6/8/8 w - - 1 46,h5h6 b3a2 h6h7 a4a3 h7h8q,400,승격
4klGl,8/8/2K5/1P6/7p/6k1/8/8 b - - 1 58,h4h3 b5b6 h3h2 c6c7 h2h1q,400,승격
8Nfqd,1K6/8/8/p5p1/2P3k1/8/8/8 w - - 0 55,c4c5 g4f3 c5c6 g5g4 c6c7 g4g3 c7c8q,400,승격
8XGaO,8/8/5K2/p7/6P1/1k6/8/8 b - - 2 45,a5a4 f6f7 a4a3 g4g5 a3a2 g5g6 a2a1q,400,승격
AnMDL,8/8/5K2/p3P3/1k6/8/8/8 w - - 0 69,e5e6 a5a4 e6e7 a4a3 e7e8q,400,승격
CA5vo,8/1K6/8/2P3k1/8/7p/8/8 b - - 1 52,h3h2 c5c6 h2h1q,400,승격
CGyqu,8/6K1/1p6/8/1k6/7P/8/8 w - - 0 57,h3h4 b4a3 h4h5 b6b5 h5h6 b5b4 h6h7 b4b3 h7h8q,400,승격
DbOPi,8/8/8/p5KP/p7/1k6/8/8 w - - 1 52,h5h6 a4a3 h6h7 a3a2 h7h8q,400,승격
GU47Y,8/1K6/2P5/6k1/8/6p1/8/8 w - - 0 54,c6c7 g5f4 c7c8q,400,승격
Jj2OQ,8/8/p5K1/1k6/8/7P/8/8 b - - 2 53,a6a5 h3h4 a5a4 h4h5 a4a3 h5h6 a3a2 g6h7 a2a1q,400,승격
KtRpk,8/8/8/p5PK/1p6/1P6/1k6/8 w - - 0 53,g5g6 b2b3 g6g7 b3a3 g7g8q,400,승격
0Rmsz,2rr2k1/1p1qbp2/p1b1p1p1/2pp4/5P2/1P1PP2R/PBPN2PP/R5K1 w - - 2 18,h3h8,401,메이트 1수
WVcFH,8/8/7K/p5P1/n1k5/8/8/8 w - - 0 60,g5g6 a4c3 g6g7,402,전진한 폰
9Encm,3N4/6pp/6k1/8/P1K1P3/2p2p2/2N5/8 b - - 0 51,f3f2 c4c3 f2f1q,402,승격
a2LcV,8/8/6p1/3Pp1P1/2p1P2k/2P2K2/1n6/8 w - - 0 50,d5d6 b2d3 d6d7,403,전진한 폰
Bp5Vq,6k1/p1p3pp/8/3pp1Q1/P4q2/3P1PK1/6PP/8 w - - 4 33,g5f4 e5f4 g3f4,403,우위 잡기
M6uoi,8/2n5/p1k5/P7/1K6/4B3/8/8 b - - 38 99,c7d5 b4b3 d5e3,404,포크
0vTXD,6k1/1p3pp1/6b1/p3r1N1/6Q1/P2p3P/1q6/2n4K w - - 0 30,g4c8 e5e8 c8e8,404,메이트 2수
Gcc0v,6k1/p1r2p1p/4p1pP/2pr4/4KP2/8/P7/1R6 w - - 5 32,b1b8 c7c8 b8c8 d5d8 c8d8,405,메이트 3수
qC729,8/3k4/8/2K5/4p3/1P6/8/8 b - - 0 48,e4e3 c5d4 e3e2,406,전진한 폰
0UdRc,8/1p3kpQ/2p2r2/3p4/5P1R/8/6PP/4qR1K b - - 2 44,e1f1,406,메이트 1수
9ZgbD,6k1/b4ppp/p1R1pn2/5Pr1/8/P1Nr3P/1P6/7K w - - 0 32,c6c8 d3d8 c8d8 f6e8 d8e8,406,메이트 3수
